name,url,images
Forum Low CL The Grinch Shoes,https://www.adidas.com/us/forum-low-cl-the-grinch-shoes/IG7066.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d2cac9ee9cd24ec5a18b343a4099c8f6_9366/forum-low-cl-the-grinch-shoes.jpg"
Multix Shoes,https://www.adidas.com/us/multix-shoes/GX4811.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c56f43c754154eac8fe2ae9200aba622_9366/multix-shoes.jpg"
Avryn Shoes Kids,https://www.adidas.com/us/avryn-shoes-kids/IG0124.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8a422f72428f4ece90e63c6c8d087c02_9366/avryn-shoes-kids.jpg"
Racer TR 23 Shoes Kids,https://www.adidas.com/us/racer-tr-23-shoes-kids/ID5370.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/373be7f4bc3e40f3b24d45cfe1ac6798_9366/racer-tr-23-shoes-kids.jpg"
Superstar Shoes,https://www.adidas.com/us/superstar-shoes/FU7712.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/95e1a36aa4f04a73a80baafc01582e32_9366/superstar-shoes.jpg"
Swift Run 22 Shoes,https://www.adidas.com/us/swift-run-22-shoes/GW8178.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4a5ed29f4bf94283be56ad7b00c2e669_9366/swift-run-22-shoes.jpg"
Superstar Boots Kids,https://www.adidas.com/us/superstar-boots-kids/ID6891.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/05f14f1084a9428d8171588c2c7d163a_9366/superstar-boots-kids.jpg"
Falcon 3 Sport Lace Shoes,https://www.adidas.com/us/falcon-3-sport-lace-shoes/HP5845.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/42e5006d6ab1428f8df0af680169ec91_9366/falcon-3-sport-lace-shoes.jpg"
Gazelle Shoes Kids,https://www.adidas.com/us/gazelle-shoes-kids/IE8605.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f3d10003686c4890a57c6cb42833075d_9366/gazelle-shoes-kids.jpg"
NMD 360 Shoes,https://www.adidas.com/us/nmd-360-shoes/GX3315.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/377fc58ebe1a43e89648ad6a011d83b7_9366/nmd-360-shoes.jpg"
OZWEEGO Shoes,https://www.adidas.com/us/ozweego-shoes/EF6298.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/05cdf1296e43446ca44dab0c010ddc46_9366/ozweego-shoes.jpg"
OZWEEGO Shoes Kids,https://www.adidas.com/us/ozweego-shoes-kids/IG7418.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/428280b4ef024c1494da80f6d67acad7_9366/ozweego-shoes-kids.jpg"
Gazelle Shoes Kids,https://www.adidas.com/us/gazelle-shoes-kids/IE8674.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3e3f96fdaebe4aaeb699ae9bd4079c8f_9366/gazelle-shoes-kids.jpg"
Racer TR23 Shoes Kids,https://www.adidas.com/us/racer-tr23-shoes-kids/ID0334.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/173db7db34f7467dbf3319e7b68ba5fc_9366/racer-tr23-shoes-kids.jpg"
Superstar XLG Shoes Kids,https://www.adidas.com/us/superstar-xlg-shoes-kids/IG0288.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3d8012b762854907a38317df76db656f_9366/superstar-xlg-shoes-kids.jpg"
Forum Low Shoes,https://www.adidas.com/us/forum-low-shoes/FY7978.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/6d91164f2b234451baa6acfd0135f83a_9366/forum-low-shoes.jpg"
Lite Racer Adapt 5.0 Shoes,https://www.adidas.com/us/lite-racer-adapt-5.0-shoes/HP6184.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/def0cfee33fb46dfb36baedf00fd33fd_9366/lite-racer-adapt-5.0-shoes.jpg"
Samba OG Shoes Kids,https://www.adidas.com/us/samba-og-shoes-kids/IE3678.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0f9f83c8090f47b5a69389c8c88515ac_9366/samba-og-shoes-kids.jpg"
UBOUNCE DNA C,https://www.adidas.com/us/ubounce-dna-c/IF6804.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/36b562849fb14193bf2c892b01a184cd_9366/ubounce-dna-c.jpg"
